"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2020,2,4,4,6,2020-04-04,"G4",20368,"G4","","252",10135,1013506,30135,"ABE","Allentown/Bethlehem/Easton, PA","PA","42","Pennsylvania",23,14082,1408202,34082,"PGD","Punta Gorda, FL","FL","12","Florida",33,"0600","",,,,,"0600-0659",,"","",,"0838","",,,,,"0800-0859",1.00,"D",0.00,158.00,,,1.00,1018.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,10,5,2020-04-10,"G4",20368,"G4","","331",14314,1431402,34314,"PVU","Provo, UT","UT","49","Utah",87,12892,1289208,32575,"LAX","Los Angeles, CA","CA","06","California",91,"1124","",,,,,"1100-1159",,"","",,"1212","",,,,,"1200-1259",1.00,"D",0.00,108.00,,,1.00,569.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,13,1,2020-04-13,"G4",20368,"G4","","851",14492,1449202,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,"2052","",,,,,"2000-2059",,"","",,"2243","",,,,,"2200-2259",1.00,"D",0.00,111.00,,,1.00,595.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,12,7,2020-04-12,"G4",20368,"G4","","216",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,14905,1490505,34905,"SMX","Santa Maria, CA","CA","06","California",91,"1600","",,,,,"1600-1659",,"","",,"1716","",,,,,"1700-1759",1.00,"D",0.00,76.00,,,1.00,310.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,16,4,2020-04-16,"G4",20368,"G4","","65",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,13256,1325602,33256,"MFE","Mission/McAllen/Edinburg, TX","TX","48","Texas",74,"1513","",,,,,"1500-1559",,"","",,"1959","",,,,,"1900-1959",1.00,"D",0.00,166.00,,,1.00,1210.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,3,5,2020-04-03,"G4",20368,"G4","","12",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,10140,1014005,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,"1338","",,,,,"1300-1359",,"","",,"1603","",,,,,"1600-1659",1.00,"D",0.00,85.00,,,1.00,486.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,3,5,2020-04-03,"G4",20368,"G4","224NV","257",10135,1013506,30135,"ABE","Allentown/Bethlehem/Easton, PA","PA","42","Pennsylvania",23,14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,"1746","1734",-12.00,0.00,0.00,-1,"1700-1759",7.00,"1741","1935",4.00,"2008","1939",-29.00,0.00,0.00,-2,"2000-2059",0.00,"",0.00,142.00,125.00,114.00,1.00,882.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,4,6,2020-04-04,"G4",20368,"G4","","1351",11193,1119302,33105,"CVG","Cincinnati, OH","KY","21","Kentucky",52,14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,"1811","",,,,,"1800-1859",,"","",,"2014","",,,,,"2000-2059",1.00,"D",0.00,123.00,,,1.00,776.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,10,5,2020-04-10,"G4",20368,"G4","","1752",11721,1172105,31721,"FNT","Flint, MI","MI","26","Michigan",43,11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL","12","Florida",33,"1836","",,,,,"1800-1859",,"","",,"2129","",,,,,"2100-2159",1.00,"D",0.00,173.00,,,1.00,1182.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,14,2,2020-04-14,"G4",20368,"G4","","1200",10431,1043105,30431,"AVL","Asheville, NC","NC","37","North Carolina",36,11618,1161802,31703,"EWR","Newark, NJ","NJ","34","New Jersey",21,"0700","",,,,,"0700-0759",,"","",,"0900","",,,,,"0900-0959",1.00,"D",0.00,120.00,,,1.00,583.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,16,4,2020-04-16,"G4",20368,"G4","","407",14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,10685,1068503,30685,"BMI","Bloomington/Normal, IL","IL","17","Illinois",41,"1523","",,,,,"1500-1559",,"","",,"1651","",,,,,"1600-1659",1.00,"D",0.00,148.00,,,1.00,917.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,22,3,2020-04-22,"G4",20368,"G4","","2297",13230,1323002,32070,"MDT","Harrisburg, PA","PA","42","Pennsylvania",23,14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,"1438","",,,,,"1400-1459",,"","",,"1653","",,,,,"1600-1659",1.00,"D",0.00,135.00,,,1.00,827.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,2,4,2020-04-02,"G4",20368,"G4","","4",13256,1325602,33256,"MFE","Mission/McAllen/Edinburg, TX","TX","48","Texas",74,12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,"2039","",,,,,"2000-2059",,"","",,"2141","",,,,,"2100-2159",1.00,"D",0.00,182.00,,,1.00,1210.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,5,7,2020-04-05,"G4",20368,"G4","","892",14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,15295,1529502,35165,"TOL","Toledo, OH","OH","39","Ohio",44,"1731","",,,,,"1700-1759",,"","",,"1956","",,,,,"1900-1959",1.00,"D",0.00,145.00,,,1.00,945.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,13,1,2020-04-13,"G4",20368,"G4","316NV","2379",14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,14696,1469608,34696,"SBN","South Bend, IN","IN","18","Indiana",42,"1110","1238",88.00,88.00,1.00,5,"1100-1159",11.00,"1249","1622",7.00,"1335","1629",,,,,"1300-1359",0.00,"",1.00,145.00,,,1.00,936.00,4,,,,,,"",,,1,1.00,231.00,174.00,0.00,"ROA",14574,1457405,"1401",17.00,10.00,"1521","316NV","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,30,4,2020-04-30,"G4",20368,"G4","327NV","1470",14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL","12","Florida",33,14122,1412202,30198,"PIT","Pittsburgh, PA","PA","42","Pennsylvania",23,"2033","2016",-17.00,0.00,0.00,-2,"2000-2059",9.00,"2025","2222",7.00,"2248","2229",-19.00,0.00,0.00,-2,"2200-2259",0.00,"",0.00,135.00,133.00,117.00,1.00,912.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,1,3,2020-04-01,"G4",20368,"G4","","252",10135,1013506,30135,"ABE","Allentown/Bethlehem/Easton, PA","PA","42","Pennsylvania",23,14082,1408202,34082,"PGD","Punta Gorda, FL","FL","12","Florida",33,"0600","",,,,,"0600-0659",,"","",,"0838","",,,,,"0800-0859",1.00,"D",0.00,158.00,,,1.00,1018.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,6,1,2020-04-06,"G4",20368,"G4","","2464",11986,1198603,31986,"GRR","Grand Rapids, MI","MI","26","Michigan",43,14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL","12","Florida",33,"1323","",,,,,"1300-1359",,"","",,"1603","",,,,,"1600-1659",1.00,"D",0.00,160.00,,,1.00,1080.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,9,4,2020-04-09,"G4",20368,"G4","","759",13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,"1505","",,,,,"1500-1559",,"","",,"1652","",,,,,"1600-1659",1.00,"D",0.00,107.00,,,1.00,559.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,9,4,2020-04-09,"G4",20368,"G4","","1334",14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,14574,1457405,34574,"ROA","Roanoke, VA","VA","51","Virginia",38,"1503","",,,,,"1500-1559",,"","",,"1654","",,,,,"1600-1659",1.00,"D",0.00,111.00,,,1.00,668.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,11,6,2020-04-11,"G4",20368,"G4","223NV","1755",11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL","12","Florida",33,11986,1198603,31986,"GRR","Grand Rapids, MI","MI","26","Michigan",43,"1339","1328",-11.00,0.00,0.00,-1,"1300-1359",29.00,"1357","1646",8.00,"1634","1654",20.00,20.00,1.00,1,"1600-1659",0.00,"",0.00,175.00,206.00,169.00,1.00,1198.00,5,0.00,0.00,20.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,13,1,2020-04-13,"G4",20368,"G4","","27",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,11423,1142307,31423,"DSM","Des Moines, IA","IA","19","Iowa",61,"0609","",,,,,"0600-0659",,"","",,"1057","",,,,,"1000-1059",1.00,"D",0.00,168.00,,,1.00,1216.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,30,4,2020-04-30,"G4",20368,"G4","","1710",11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL","12","Florida",33,12945,1294503,32945,"LEX","Lexington, KY","KY","21","Kentucky",52,"1822","",,,,,"1800-1859",,"","",,"2041","",,,,,"2000-2059",1.00,"D",0.00,139.00,,,1.00,865.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,8,3,2020-04-08,"G4",20368,"G4","","1556",14576,1457606,34576,"ROC","Rochester, NY","NY","36","New York",22,14082,1408202,34082,"PGD","Punta Gorda, FL","FL","12","Florida",33,"1119","",,,,,"1100-1159",,"","",,"1410","",,,,,"1400-1459",1.00,"D",0.00,171.00,,,1.00,1143.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,9,4,2020-04-09,"G4",20368,"G4","","1726",12945,1294503,32945,"LEX","Lexington, KY","KY","21","Kentucky",52,11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL","12","Florida",33,"2058","",,,,,"2000-2059",,"","",,"2313","",,,,,"2300-2359",1.00,"D",0.00,135.00,,,1.00,865.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,10,5,2020-04-10,"G4",20368,"G4","307NV","804",14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,10685,1068503,30685,"BMI","Bloomington/Normal, IL","IL","17","Illinois",41,"0630","0611",-19.00,0.00,0.00,-2,"0600-0659",9.00,"0620","0738",7.00,"0754","0745",-9.00,0.00,0.00,-1,"0700-0759",0.00,"",0.00,144.00,154.00,138.00,1.00,936.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,13,1,2020-04-13,"G4",20368,"G4","","768",14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,14696,1469608,34696,"SBN","South Bend, IN","IN","18","Indiana",42,"0827","",,,,,"0800-0859",,"","",,"1058","",,,,,"1000-1059",1.00,"D",0.00,151.00,,,1.00,973.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,2,4,2020-04-02,"G4",20368,"G4","","919",11823,1182304,31823,"FWA","Fort Wayne, IN","IN","18","Indiana",42,14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,"0939","",,,,,"0900-0959",,"","",,"1155","",,,,,"1100-1159",1.00,"D",0.00,136.00,,,1.00,912.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,5,7,2020-04-05,"G4",20368,"G4","","2339",14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,"1315","",,,,,"1300-1359",,"","",,"1440","",,,,,"1400-1459",1.00,"D",0.00,85.00,,,1.00,425.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,5,7,2020-04-05,"G4",20368,"G4","","96",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,14716,1471603,34716,"SCK","Stockton, CA","CA","06","California",91,"0610","",,,,,"0600-0659",,"","",,"0729","",,,,,"0700-0759",1.00,"D",0.00,79.00,,,1.00,359.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,9,4,2020-04-09,"G4",20368,"G4","","1850",14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,12339,1233904,32337,"IND","Indianapolis, IN","IN","18","Indiana",42,"2052","",,,,,"2000-2059",,"","",,"2302","",,,,,"2300-2359",1.00,"D",0.00,130.00,,,1.00,840.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,16,4,2020-04-16,"G4",20368,"G4","","2216",11267,1126702,31267,"DAY","Dayton, OH","OH","39","Ohio",44,14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,"1916","",,,,,"1900-1959",,"","",,"2121","",,,,,"2100-2159",1.00,"D",0.00,125.00,,,1.00,785.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,30,4,2020-04-30,"G4",20368,"G4","","1425",14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,14122,1412202,30198,"PIT","Pittsburgh, PA","PA","42","Pennsylvania",23,"1950","",,,,,"1900-1959",,"","",,"2159","",,,,,"2100-2159",1.00,"D",0.00,129.00,,,1.00,809.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,2,4,2020-04-02,"G4",20368,"G4","","1027",14524,1452401,34524,"RIC","Richmond, VA","VA","51","Virginia",38,10693,1069302,30693,"BNA","Nashville, TN","TN","47","Tennessee",54,"1538","",,,,,"1500-1559",,"","",,"1622","",,,,,"1600-1659",1.00,"D",0.00,104.00,,,1.00,527.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,4,6,2020-04-04,"G4",20368,"G4","","937",12544,1254404,32544,"USA","Concord, NC","NC","37","North Carolina",36,14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,"1535","",,,,,"1500-1559",,"","",,"1713","",,,,,"1700-1759",1.00,"D",0.00,98.00,,,1.00,528.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,9,4,2020-04-09,"G4",20368,"G4","","2636",14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL","12","Florida",33,10135,1013506,30135,"ABE","Allentown/Bethlehem/Easton, PA","PA","42","Pennsylvania",23,"1045","",,,,,"1000-1059",,"","",,"1316","",,,,,"1300-1359",1.00,"D",0.00,151.00,,,1.00,1000.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,9,4,2020-04-09,"G4",20368,"G4","","517",10466,1046602,30466,"AZA","Phoenix, AZ","AZ","04","Arizona",81,13433,1343302,33304,"MOT","Minot, ND","ND","38","North Dakota",66,"1359","",,,,,"1300-1359",,"","",,"1844","",,,,,"1800-1859",1.00,"D",0.00,165.00,,,1.00,1164.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,5,7,2020-04-05,"G4",20368,"G4","","1355",11193,1119302,33105,"CVG","Cincinnati, OH","KY","21","Kentucky",52,13495,1349505,33495,"MSY","New Orleans, LA","LA","22","Louisiana",72,"1245","",,,,,"1200-1259",,"","",,"1346","",,,,,"1300-1359",1.00,"D",0.00,121.00,,,1.00,701.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,2,4,2020-04-02,"G4",20368,"G4","231NV","901",14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,15096,1509602,35096,"SYR","Syracuse, NY","NY","36","New York",22,"0857","0843",-14.00,0.00,0.00,-1,"0800-0859",9.00,"0852","1119",4.00,"1141","1123",-18.00,0.00,0.00,-2,"1100-1159",0.00,"",0.00,164.00,160.00,147.00,1.00,1111.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,3,5,2020-04-03,"G4",20368,"G4","","1920",15624,1562404,31504,"VPS","Valparaiso, FL","FL","12","Florida",33,13851,1385103,33851,"OKC","Oklahoma City, OK","OK","40","Oklahoma",73,"1838","",,,,,"1800-1859",,"","",,"2046","",,,,,"2000-2059",1.00,"D",0.00,128.00,,,1.00,726.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,6,1,2020-04-06,"G4",20368,"G4","","2465",14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,11986,1198603,31986,"GRR","Grand Rapids, MI","MI","26","Michigan",43,"2110","",,,,,"2100-2159",,"","",,"2343","",,,,,"2300-2359",1.00,"D",0.00,153.00,,,1.00,1001.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,3,5,2020-04-03,"G4",20368,"G4","","1023",14082,1408202,34082,"PGD","Punta Gorda, FL","FL","12","Florida",33,10693,1069302,30693,"BNA","Nashville, TN","TN","47","Tennessee",54,"2025","",,,,,"2000-2059",,"","",,"2123","",,,,,"2100-2159",1.00,"D",0.00,118.00,,,1.00,692.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,17,5,2020-04-17,"G4",20368,"G4","","1755",11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL","12","Florida",33,14025,1402501,34025,"PBG","Plattsburgh, NY","NY","36","New York",22,"1354","",,,,,"1300-1359",,"","",,"1704","",,,,,"1700-1759",1.00,"D",0.00,190.00,,,1.00,1334.00,6,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,6,1,2020-04-06,"G4",20368,"G4","","328",12892,1289208,32575,"LAX","Los Angeles, CA","CA","06","California",91,15370,1537002,34653,"TUL","Tulsa, OK","OK","40","Oklahoma",73,"0630","",,,,,"0600-0659",,"","",,"1125","",,,,,"1100-1159",1.00,"D",0.00,175.00,,,1.00,1283.00,6,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,12,7,2020-04-12,"G4",20368,"G4","","2130",10431,1043105,30431,"AVL","Asheville, NC","NC","37","North Carolina",36,10821,1082106,30852,"BWI","Baltimore, MD","MD","24","Maryland",35,"1605","",,,,,"1600-1659",,"","",,"1726","",,,,,"1700-1759",1.00,"D",0.00,81.00,,,1.00,414.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,25,6,2020-04-25,"G4",20368,"G4","316NV","2386",14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,14259,1425902,34259,"PSM","Portsmouth, NH","NH","33","New Hampshire",14,"1618","1611",-7.00,0.00,0.00,-1,"1600-1659",10.00,"1621","1839",35.00,"1907","1914",7.00,7.00,0.00,0,"1900-1959",0.00,"",0.00,169.00,183.00,138.00,1.00,1144.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,1,3,2020-04-01,"G4",20368,"G4","","2006",14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL","12","Florida",33,13230,1323002,32070,"MDT","Harrisburg, PA","PA","42","Pennsylvania",23,"0601","",,,,,"0600-0659",,"","",,"0825","",,,,,"0800-0859",1.00,"D",0.00,144.00,,,1.00,942.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
